time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name
2021-12-01 15:06:10,2500.0,-2.182,293.206,-0.002182,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:14,1985.8207,-2.296,293.204,-0.002296,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:18,1577.3937,-2.635,293.207,-0.0026349999999999998,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:22,1252.9686,-3.02,293.199,-0.00302,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:26,995.2686,-3.54,293.207,-0.00354,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:30,790.5701,-4.084,293.203,-0.004084,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:34,627.9723,-4.568,293.197,-0.004568,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:38,498.8163,-5.034,293.208,-0.005033999999999999,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:42,396.2239,-5.437,293.195,-0.005437,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:46,314.7319,-5.705,293.195,-0.005705,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:50,250.0005,-5.788,293.208,-0.005788000000000001,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:54,198.5825,-5.665,293.195,-0.005665,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:06:58,157.7397,-5.354,293.193,-0.005354,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:02,125.2971,-4.832,293.203,-0.0048319999999999995,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:06,99.5271,-4.179,293.205,-0.004179,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:10,79.0571,-3.442,293.203,-0.003442,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:14,62.7973,-2.698,293.21,-0.002698,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:18,49.8817,-2.094,293.204,-0.002094,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:21,39.6224,-1.555,293.207,-0.001555,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:25,31.4732,-1.111,293.197,-0.001111,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:29,25.0001,-0.7788,293.199,-0.0007788000000000001,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:33,19.8582,-0.5777,293.193,-0.0005777,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:37,15.774,-0.4156,293.2,-0.0004156,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:41,12.5297,-0.3362,293.199,-0.0003362,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:45,9.9527,-0.3014,293.206,-0.0003014,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:49,7.9057,-0.2625,293.195,-0.00026250000000000004,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:53,6.2797,-0.257,293.199,-0.000257,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:07:57,4.9882,-0.2959,293.205,-0.0002959,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:08:01,3.9622,-0.3648,293.22,-0.00036480000000000003,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:08:05,3.1473,-0.4233,293.2,-0.0004233,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:08:09,2.5,-0.4439,293.203,-0.0004439,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:08:13,1.9858,-0.5968,293.201,-0.0005968,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:08:17,1.5774,-0.6805,293.223,-0.0006805,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
2021-12-01 15:08:21,1.253,-0.789,293.237,-0.000789,1,100,20,-1.0,-12.0,3.5,3.0,КТ117№3_п1(база 2)
